Name,"Individual_
No.",Plant_weight_2016_05_13,Root_weight_2016_05_13,5_length_of_branch,10_length_of_branch,15_length_of_branch
Da-Ol1,134-1,0.5,41.6,4,14,53
Da-Ol1,134-2,0.2,8.5,5,16,55
Da-Ol1,134-3,0.5,50.6,5,15,54
Da-Ol1,134-4,0.1,7.7,4,10,50
Da-Ol1,134-5,0.2,12.7,5,20,60
Da-Ol1,134-6,0.2,17.6,3,13,55
Da-Ae,107-1,0.8,215.1,4,9,25
Da-Ae,107-2,1.15,160.1,6,10,24
F1,136-1,0.7,92.7,5,15,60
F1,136-2,0.2,21.6,3,30,75
F1,136-3,0.4,42.8,5,26,68
F1,136-4,0.2,24.4,4,20,67
F1,136-5,0.4,57.1,4,13,55
F1,136-6,0.4,60.2,5,19,60
F1,136-7,0.6,71.4,5,17,73
F1,136-8,1,114.8,5,18,58
F1,136-9,0.2,19.6,5,30,78
F1,136-10,0.6,89,7,19,63
F1,136-11,0.3,38.4,5,31,78
F1,136-12,0.5,20.6,6,24,60
F1,136-13,0.1,20.1,7,38,80
F1,136-14,0.5,65.5,5,20,70
Da-Ol1xDa-Ae_F1,137-1,0.8,40.7,5,16,68
Da-Ol1xDa-Ae_F1,137-2,0.75,69.5,5,30,70
Da-Ol1xDa-Ae_F1,137-3,0.4,28,5,12,35
Da-Ol1xDa-Ae_F1,137-4,1.8,188.8,4,10,23
Da-Ol1xDa-Ae_F1,137-5,1.5,128.3,5,18,57
Da-Ol1xDa-Ae_F1,137-6,1.55,131.7,7,17,40
Da-Ol1xDa-Ae_F1,137-7,0.6,69.6,5,20,60
Da-Ol1xDa-Ae_F1,137-8,0.5,45.9,,,
F2,138-1,1.2,108.5,4,23,50
F2,138-2,0.6,95.6,5,15,50
F2,138-3,0.2,16.5,5,28,65
F2,138-4,1.1,156.1,5,14,90
F2,138-5,0.2,3.6,5,20,50
F2,138-6,0.4,43,7,30,90
F2,138-7,0.6,60.8,5,15,40
F2,138-8,0.25,37.9,5,17,50
F2,138-9,0.5,47.2,4,20,55
F2,138-10,0.35,60.1,5,40,85
F2,138-11,0.3,43.2,5,15,60
F2,138-12,0.4,119.8,5,20,55
F2,138-13,0.3,40.5,7,30,75
F2,138-14,0.4,59.2,5,30,75
F2,138-15,0.25,28.9,5,15,60
F2,138-16,0.35,51.7,5,13,50
F2,138-17,0.6,48.3,4,10,70
F2,138-18,0.6,94.4,5,18,68
F2,138-19,0.2,21.8,3,25,65
F2,138-20,0.2,20.4,5,22,71
F2,138-21,0.6,66.8,5,20,70
F2,138-22,0.3,27,5,22,70
F2,138-23,0.3,52.2,5,37,80
F2,138-24,0.4,59.2,3,22,75
F2,138-25,0.3,52.8,3,23,80
F2,138-26,0.4,32.2,6,23,59
F2,138-27,0.5,98.1,3,16,67
F2,138-28,0.5,16.5,5,58,60
F2,138-29,0.6,89.6,5,23,70
F2,138-30,0.35,43.2,5,20,80
F2,138-31,0.2,16.4,3,15,60
F2,138-32,0.3,56.4,2,19,59
F2,138-33,0.1,57.3,5,21,45
F2,138-34,0.15,23.8,5,23,80
F2,138-35,0.25,33.1,3,15,65
F2,138-36,0.2,28.5,3,37,85
F2,138-37,0.35,66.6,5,13,45
F2,138-38,0.5,96.2,3,13,70
F2,138-39,0.15,21,3,23,68
F2,138-40,0.2,33.3,4,20,66
F2,138-41,0.2,72.7,3,10,35
F2,138-42,0.6,91.2,3,13,43
F2,138-43,0.1,16.4,5,38,55
F2,138-44,0.15,50.4,3,13,50
F2,138-45,0.6,119.7,3,10,66
F2,138-46,0.25,57.6,6,30,64
F2,138-47,0.2,22.1,5,20,72
F2,138-48,0.4,72.6,5,10,35
F2,138-49,0.35,73.6,5,25,75
F2,138-50,0.2,29.7,6,19,59
F2,138-51,0.5,2.9,3,12,46
F2,138-52,0.75,195.4,3,14,71
F2,138-53,0.3,62.7,5,12,36
F2,138-54,0.5,86.6,3,10,43
F2,138-55,0.1,23.1,4,40,66
F2,138-56,0.3,52,6,35,90
F2,138-57,0.5,77.9,5,20,66
F2,138-58,0.25,56.7,3,10,36
F2,138-59,0.2,30.5,5,16,65
F2,138-60,0.25,74.1,5,24,80
F2,138-61,0.3,49.1,3,10,46
F2,138-62,0.1,16.8,5,12,44
F2,138-63,0.45,115.8,3,23,66
F2,138-64,1,170.4,5,20,74
F2,138-65,1.2,254.1,3,15,74
F2,138-66,0.1,17.6,4,16,50
F2,138-67,1.1,190.8,5,17,85
F2,138-68,0.65,92.3,3,32,76
F2,138-69,0.1,13.6,5,13,47
F2,138-70,0.4,55.5,3,15,66
F2,138-71,0.8,66,4,23,58
F2,138-72,0.15,30.8,4,20,45
F2,138-73,0.8,92.7,4,16,49
F2,138-74,0.6,117.3,4,30,88
F2,138-75,0.25,25.2,4,36,56
F2,138-76,0.4,46,3,14,66
F2,138-77,0.2,26.9,4,14,56
F2,138-78,0.6,80.5,4,16,31
F2,138-79,0.85,14.35,5,15,50
F2,138-80,0.45,71.3,10,28,83
F2,138-81,0.35,35.6,6,16,43
F2,138-82,0.35,51.4,7,34,53
F2,138-83,0.65,136.4,4,10,44
F2,138-84,0.65,84.5,6,28,80
F2,138-85,0.2,37.8,8,13,53
F2,138-86,0.8,103.4,5,13,30
F2,138-87,0.6,166.1,4,9,19
F2,138-88,0.2,21,6,25,50
F2,138-89,0.6,103.4,5,11,34
F2,138-90,0.45,5.2,3,6,30
F2,138-91,0.45,73.4,5,16,77
F2,138-92,0.7,173.5,5,12,33
F2,138-93,0.2,134.1,4,14,53
F2,138-94,0.4,55,5,25,64
F2,138-95,0.5,62,5,31,80
F2,138-96,0.7,100.3,5,20,70
F2,138-97,0.4,83.9,4,14,53
F2,138-98,0.5,120.8,3,10,52
F2,138-99,0.2,45.5,5,15,59
F2,138-100,0.3,136.5,3,16,40
F2,138-101,0.4,61.5,4,12,54
F2,138-102,0.15,18.3,5,32,68
F2,138-103,0.3,53.6,4,15,70
F2,138-104,0.35,49.7,4,12,48
F2,138-105,0.45,162,3,10,45
F2,138-106,0.2,79.3,8,30,77
F2,138-107,0.6,148.8,4,16,35
F2,138-108,0.4,100.9,3,15,50
F2,138-109,0.3,73.6,3,16,38
F2,138-110,0.5,135,4,14,48
F2,138-111,0.5,98,5,13,50
F2,138-112,0.4,79.7,3,16,61
F2,138-113,0.5,70.1,5,30,80
F2,138-114,0.6,127,3,7,23
F2,138-115,0.2,18.8,3,17,51
F2,138-116,0.35,76.5,3,10,60
F2,138-117,0.2,42.4,4,10,26
F2,138-118,0.4,81.5,3,18,66
F2,138-119,0.1,42.6,3,20,54
F2,138-120,0.3,45.7,4,13,57
F2,138-121,0.4,99.2,6,18,60
F2,138-122,1,30.8,5,15,53
F2,138-123,0.35,71.6,4,35,80
F2,138-124,0.3,55.1,3,14,68
F2,138-125,0.1,24.6,5,10,50
F2,138-126,0.3,49.6,3,15,70
F2,138-127,0.45,107.5,5,17,60
F2,138-128,0.4,64.8,5,23,70
F2,138-129,0.2,28.9,3,20,48
F2,138-130,0.9,106,3,15,51
F2,138-131,0.05,7.7,5,20,40
F2,138-132,0.3,78.9,5,30,90
F2,138-133,0.5,127.5,5,25,50
F2,138-134,0.1,12.1,6,24,65
F2,138-135,0.4,41.9,7,39,70
F2,138-136,0.5,40.6,5,28,58
F2,138-137,0.1,74.8,5,40,80
F2,138-138,0.8,77.6,3,13,50
F2,138-139,0.25,18.7,5,28,60
F2,138-140,0.7,62.5,5,17,57
F2,138-141,0.35,44.9,4,20,70
F2,138-142,0.2,45.5,6,20,50
F2,138-143,0.4,108.8,5,20,50
F2,138-144,0.45,65.5,5,25,73
F2,138-145,0.4,32.1,6,25,73
F2,138-146,0.25,37.4,4,17,50
F2,138-147,0.45,52.8,6,46,75
F2,138-148,0.3,43.8,6,37,72
F2,138-149,0.02,9.7,5,20,45
F2,138-150,0.3,76.9,6,22,60
F2,138-151,0.4,42.5,5,33,60
F2,138-152,0.35,72.1,4,15,47
F2,138-153,0.45,68,6,30,65
F2,138-154,0.05,30.2,4,26,55
F2,138-155,0.6,77.4,5,20,45
F2,138-156,0.45,44.6,5,28,63
F2,138-157,0.1,6,5,20,42
F2,138-158,0.9,119.3,5,28,85
F2,138-159,0.3,106.4,4,20,68
F2,138-160,0.7,86.5,4,15,57
F2,138-161,0.1,29,5,30,60
F2,138-162,0.5,69.8,4,28,75
F2,138-163,0.4,39.7,8,30,70
F2,138-164,0.2,115.6,3,15,52
F2,138-165,0.2,34.9,3,13,43
F2,138-166,0.4,73.9,5,18,55
F2,138-167,0.3,53.2,5,28,68
F2,138-168,0.4,59.3,5,20,55
F2,138-169,0.15,15.7,7,23,60
F2,138-170,0.3,32,7,40,90
F2,138-171,0.45,106.3,5,20,63
F2,138-172,0.2,83.9,5,20,48
F2,138-173,0.25,38.2,5,25,66
F2,138-174,0.3,68.2,5,27,75
F2,138-175,0.2,50.7,4,40,70
F2,138-176,0.3,52.6,4,35,80
F2,138-177,0.2,53.5,7,22,50
F2,138-178,0.1,25.8,5,35,65
F2,138-179,0.3,52.4,4,17,45
F2,138-180,0.2,55.4,7,39,78
F2,138-181,0.15,28,7,30,70
F2,138-182,0.2,43.3,5,15,50
F2,138-183,0.2,17.4,10,40,78
F2,138-184,0.35,58.4,6,25,90
F2,138-185,0.3,39.4,10,40,90
F2,138-186,0.25,26.8,7,40,80
F2,138-187,0.2,30.3,5,24,55
F2,138-188,0.3,63.3,5,20,65
F2,138-189,0.6,64.2,5,20,70
F2,138-190,0.25,23.3,7,30,80
F2,138-191,1.5,236.2,5,14,40
F2,138-192,0.03,1.5,2,25,33
F2,138-193,0.8,74,6,35,67
F2,138-194,0.2,12.4,6,45,80
F2,138-195,0.4,44.5,5,20,60
F2,138-196,0.2,19.5,8,27,50
F2,138-197,0.25,45.5,5,20,70
F2,138-198,0.2,42.7,5,20,60
F2,138-199,0.45,74,5,13,40
F2,138-200,0.5,82.5,5,18,60
F2,138-201,0.3,38.8,6,22,77
F2,138-202,0.3,40.7,5,25,60
F2,138-203,0.3,39.1,4,22,60
F2,138-204,0.4,56.6,4,17,48
F2,138-205,0.4,54.4,5,30,65
F2,138-206,0.6,130.7,6,20,70
F2,138-207,0.2,21,5,20,50
F2,138-208,0.45,86.7,7,20,45
F2,138-209,0.2,15.4,5,23,50
F2,138-210,0.6,74.8,4,13,60
F2,138-211,0.3,43.4,7,30,63
F2,138-212,0.3,23.2,6,38,85
F2,138-213,0.6,107.6,5,20,60
F2,138-214,0.4,32.1,7,20,60
F2,138-215,0.3,58.2,4,20,70
F2,138-216,0.4,68.5,6,20,55
F2,138-217,0.2,33.1,6,16,50
F2,138-218,0.2,22.4,6,22,53
F2,138-219,0.3,31.3,7,15,58
F2,138-220,0.5,90.7,5,22,56
F2,138-221,0.3,49.6,5,15,46
F2,138-222,0.2,36.5,3,13,45
F2,138-223,0.25,44.4,4,20,50
F2,138-224,0.2,36.6,4,16,45
F2,138-225,0.2,24.5,4,15,40
F2,138-226,0.4,82.4,5,15,45
F2,138-227,0.2,25,6,30,70
F2,138-228,0.3,42.9,3,15,57
F2,138-229,0.3,72,5,25,70
F2,138-230,0.3,41.6,5,40,70
F2,138-231,0.4,61.4,4,25,70
F2,138-232,0.4,56.6,7,35,80
F2,138-233,0.9,153,4,15,70
F2,138-234,0.2,61.1,4,13,50
Da-Ol1_x_Da-Ae_F2,139-1,0.4,58.5,10,23,53
Da-Ol1_x_Da-Ae_F2,139-2,0.3,15.6,4,13,51
Da-Ol1_x_Da-Ae_F2,139-3,1.1,116.1,5,16,54
Da-Ol1_x_Da-Ae_F2,139-4,0.2,29,4,23,57
Da-Ol1_x_Da-Ae_F2,139-5,0.6,65.3,3,10,34
Da-Ol1_x_Da-Ae_F2,139-6,0.25,36.6,4,20,60
Da-Ol1_x_Da-Ae_F2,139-7,0.2,41.5,5,25,60
Da-Ol1_x_Da-Ae_F2,139-8,0.2,19.5,4,20,58
Da-Ol1_x_Da-Ae_F2,139-9,0.4,33.6,5,15,30
Da-Ol1_x_Da-Ae_F2,139-10,0.2,18.1,3,20,52
Da-Ol1_x_Da-Ae_F2,139-11,0.1,18,4,18,43
Da-Ol1_x_Da-Ae_F2,139-12,0.2,18.2,5,20,50
Da-Ol1_x_Da-Ae_F2,139-13,0.3,44.2,5,18,60
Da-Ol1_x_Da-Ae_F2,139-14,0.1,10.3,5,25,52
Da-Ol1_x_Da-Ae_F2,139-15,0.1,7.2,4,19,50
Da-Ol1_x_Da-Ae_F2,139-16,0.4,52.7,4,13,40
Da-Ol1_x_Da-Ae_F2,139-17,0.5,47,4,15,48
Da-Ol1_x_Da-Ae_F2,139-18,0.5,2.7,3,20,42
Da-Ol1_x_Da-Ae_F2,139-19,0.05,16.4,,,
