Sample	Number_Unique_Mapped
2_Unique.sorted.bam_chrA01.bam.stats	546777
2_Unique.sorted.bam_chrA01_random.bam.stats	30956
2_Unique.sorted.bam_chrA02.bam.stats	682604
2_Unique.sorted.bam_chrA02_random.bam.stats	30498
2_Unique.sorted.bam_chrA03.bam.stats	1452718
2_Unique.sorted.bam_chrA03_random.bam.stats	137158
2_Unique.sorted.bam_chrA04.bam.stats	661326
2_Unique.sorted.bam_chrA04_random.bam.stats	54280
2_Unique.sorted.bam_chrA05.bam.stats	838693
2_Unique.sorted.bam_chrA05_random.bam.stats	115199
2_Unique.sorted.bam_chrA06.bam.stats	997274
2_Unique.sorted.bam_chrA06_random.bam.stats	90184
2_Unique.sorted.bam_chrA07.bam.stats	762260
2_Unique.sorted.bam_chrA07_random.bam.stats	67908
2_Unique.sorted.bam_chrA08.bam.stats	605866
2_Unique.sorted.bam_chrA08_random.bam.stats	56069
2_Unique.sorted.bam_chrA09.bam.stats	1657328
2_Unique.sorted.bam_chrA09_random.bam.stats	140819
2_Unique.sorted.bam_chrA10.bam.stats	692998
2_Unique.sorted.bam_chrA10_random.bam.stats	60932
2_Unique.sorted.bam_chrAnn_random.bam.stats	2023018
2_Unique.sorted.bam_chrC01.bam.stats	917907
2_Unique.sorted.bam_chrC01_random.bam.stats	66333
2_Unique.sorted.bam_chrC02.bam.stats	969088
2_Unique.sorted.bam_chrC02_random.bam.stats	85327
2_Unique.sorted.bam_chrC03.bam.stats	1710674
2_Unique.sorted.bam_chrC03_random.bam.stats	182640
2_Unique.sorted.bam_chrC04.bam.stats	1234198
2_Unique.sorted.bam_chrC04_random.bam.stats	86066
2_Unique.sorted.bam_chrC05.bam.stats	1277300
2_Unique.sorted.bam_chrC05_random.bam.stats	84754
2_Unique.sorted.bam_chrC06.bam.stats	1013573
2_Unique.sorted.bam_chrC06_random.bam.stats	85018
2_Unique.sorted.bam_chrC07.bam.stats	1317030
2_Unique.sorted.bam_chrC07_random.bam.stats	80972
2_Unique.sorted.bam_chrC08.bam.stats	1102714
2_Unique.sorted.bam_chrC08_random.bam.stats	215131
2_Unique.sorted.bam_chrC09.bam.stats	1336087
2_Unique.sorted.bam_chrC09_random.bam.stats	65850
2_Unique.sorted.bam_chrCnn_random.bam.stats	2424995
2_Unique.sorted.bam_chrUnn_random.bam.stats	169396
2_Unique.sorted.bam_J11.bam.stats	26352
2_Unique.sorted.bam_J12.bam.stats	121710
2_Unique.sorted.bam_J13.bam.stats	85708
2_Unique.sorted.bam_J14.bam.stats	26698
2_Unique.sorted.bam_J15.bam.stats	70464
2_Unique.sorted.bam_J16.bam.stats	12442
2_Unique.sorted.bam_J17.bam.stats	97647
2_Unique.sorted.bam_J18.bam.stats	98628
6_Unique.sorted.bam_chrA01.bam.stats	833557
6_Unique.sorted.bam_chrA01_random.bam.stats	56834
6_Unique.sorted.bam_chrA02.bam.stats	740215
6_Unique.sorted.bam_chrA02_random.bam.stats	36193
6_Unique.sorted.bam_chrA03.bam.stats	1262344
6_Unique.sorted.bam_chrA03_random.bam.stats	114170
6_Unique.sorted.bam_chrA04.bam.stats	574609
6_Unique.sorted.bam_chrA04_random.bam.stats	44522
6_Unique.sorted.bam_chrA05.bam.stats	788420
6_Unique.sorted.bam_chrA05_random.bam.stats	88619
6_Unique.sorted.bam_chrA06.bam.stats	773680
6_Unique.sorted.bam_chrA06_random.bam.stats	86828
6_Unique.sorted.bam_chrA07.bam.stats	845451
6_Unique.sorted.bam_chrA07_random.bam.stats	59779
6_Unique.sorted.bam_chrA08.bam.stats	542845
6_Unique.sorted.bam_chrA08_random.bam.stats	56964
6_Unique.sorted.bam_chrA09.bam.stats	1339450
6_Unique.sorted.bam_chrA09_random.bam.stats	134143
6_Unique.sorted.bam_chrA10.bam.stats	538075
6_Unique.sorted.bam_chrA10_random.bam.stats	58614
6_Unique.sorted.bam_chrAnn_random.bam.stats	1909424
6_Unique.sorted.bam_chrC01.bam.stats	968376
6_Unique.sorted.bam_chrC01_random.bam.stats	65504
6_Unique.sorted.bam_chrC02.bam.stats	762662
6_Unique.sorted.bam_chrC02_random.bam.stats	90205
6_Unique.sorted.bam_chrC03.bam.stats	1800835
6_Unique.sorted.bam_chrC03_random.bam.stats	160161
6_Unique.sorted.bam_chrC04.bam.stats	1212279
6_Unique.sorted.bam_chrC04_random.bam.stats	102172
6_Unique.sorted.bam_chrC05.bam.stats	1310852
6_Unique.sorted.bam_chrC05_random.bam.stats	71991
6_Unique.sorted.bam_chrC06.bam.stats	1004706
6_Unique.sorted.bam_chrC06_random.bam.stats	70391
6_Unique.sorted.bam_chrC07.bam.stats	1161087
6_Unique.sorted.bam_chrC07_random.bam.stats	77097
6_Unique.sorted.bam_chrC08.bam.stats	1038844
6_Unique.sorted.bam_chrC08_random.bam.stats	159532
6_Unique.sorted.bam_chrC09.bam.stats	1277772
6_Unique.sorted.bam_chrC09_random.bam.stats	59249
6_Unique.sorted.bam_chrCnn_random.bam.stats	2302673
6_Unique.sorted.bam_chrUnn_random.bam.stats	160368
6_Unique.sorted.bam_J11.bam.stats	24312
6_Unique.sorted.bam_J12.bam.stats	129030
6_Unique.sorted.bam_J13.bam.stats	79333
6_Unique.sorted.bam_J14.bam.stats	42708
6_Unique.sorted.bam_J15.bam.stats	239687
6_Unique.sorted.bam_J16.bam.stats	18483
