Name,"Individual_
No.",Day_of_sowing,transfer_to_soil,Date_of_Volting_(yymmdd),Date_of_Flowering_(yymmdd)
Da-Ol1,134-1,150909,151026,,151215
Da-Ol1,134-2,150909,151026,151215,151216
Da-Ol1,134-3,150909,151026,,151215
Da-Ol1,134-4,150909,151026,151215,151228
Da-Ol1,134-5,150909,151026,151215,151231
Da-Ol1,134-6,150909,151026,151215,160111
Da-Ae,107-1,150909,151026,160114,160222
Da-Ae,107-2,150909,151026,160114,160222
F1,136-1,150909,151026,160104,160204
F1,136-2,150909,151026,160118,160218
F1,136-3,150909,151026,160104,160211
F1,136-4,150909,151026,160114,160218
F1,136-5,150909,151026,160104,160204
F1,136-6,150909,151026,160104,160204
F1,136-7,150909,151026,160104,160201
F1,136-8,150909,151026,160104,160204
F1,136-9,150909,151026,160114,160229
F1,136-10,150909,151026,160104,160204
F1,136-11,150909,151026,160104,160215
F1,136-12,150909,151026,160125,160225
F1,136-13,150909,151026,160118,160222
F1,136-14,150909,151026,160104,160211
Da-Ol1xDa-Ae_F1,137-1,150909,151026,160114,160211
Da-Ol1xDa-Ae_F1,137-2,150909,151026,151228,160125
Da-Ol1xDa-Ae_F1,137-3,150909,151026,160125,160321
Da-Ol1xDa-Ae_F1,137-4,150909,151026,160104,160201
Da-Ol1xDa-Ae_F1,137-5,150909,151026,151215,160211
Da-Ol1xDa-Ae_F1,137-6,150909,151026,160104,160204
Da-Ol1xDa-Ae_F1,137-7,150909,151026,160114,160211
Da-Ol1xDa-Ae_F1,137-8,150909,151026,160111,160204
Da-Ae_x_Da-Ol1_F2,138-1,150909,151026,160111,160211
Da-Ae_x_Da-Ol1_F2,138-2,150909,151026,160104,160201
Da-Ae_x_Da-Ol1_F2,138-3,150909,151026,160204,160303
Da-Ae_x_Da-Ol1_F2,138-4,150909,151026,151215,160111
Da-Ae_x_Da-Ol1_F2,138-5,150909,151026,151215,160307
Da-Ae_x_Da-Ol1_F2,138-6,150909,151026,160104,160211
Da-Ae_x_Da-Ol1_F2,138-7,150909,151026,160104,160211
Da-Ae_x_Da-Ol1_F2,138-8,150909,151026,160125,160225
Da-Ae_x_Da-Ol1_F2,138-9,150909,151026,151215,160211
Da-Ae_x_Da-Ol1_F2,138-10,150909,151026,160114,160211
Da-Ae_x_Da-Ol1_F2,138-11,150909,151026,151215,160215
Da-Ae_x_Da-Ol1_F2,138-12,150909,151026,160104,160211
