"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",171.789189792971,0.0439381386738089,2.06757878567499,167.74168761102,170.41589693177,171.751086607187,173.173803293306,175.952260251405,2214.32225275589,1.00161634037494
"b_k_Intercept",4.11003051574789,0.0030575694447868,0.140458769879827,3.83993757369656,4.0141328263458,4.10866353799294,4.2025061888163,4.39032807304868,2110.30419280732,1.0035446710873
"b_I_Intercept",150.84712877479,0.026866795409438,0.995187763002778,148.89805353755,150.160590215306,150.858597834777,151.523933856054,152.780902155202,1372.07647466927,1.00138783893064
"b_Hmin_Intercept",18.4222670784776,0.00969318071889331,0.969318071889331,16.4979706558444,17.765933530507,18.4289324635522,19.0783690967085,20.286725842809,10000,0.999941034457636
"sd_ID__Hmax_Intercept",23.1408316489182,0.0329893416525009,1.56902096681761,20.2089673798256,22.0649577833082,23.0841993775017,24.1523884845253,26.4071050572644,2262.09165089582,1.001556747547
"sd_ID__k_Intercept",0.533794727900849,0.0105537781759382,0.234046921924231,0.0534689097599596,0.37384732448242,0.556762779176044,0.707730298459944,0.935466394070623,491.80160784892,1.01556944159587
"sd_ID__I_Intercept",10.6251690313927,0.0175329565088363,0.743512492800928,9.25196159810472,10.0922460949917,10.5968900236129,11.1289060642745,12.1341305872547,1798.31691457129,1.00086064614672
"sigma",11.7570158479982,0.0133535251432619,0.454163819439661,10.8891540388027,11.4435569648744,11.7449311059482,12.0684414671985,12.6563975830324,1156.733225321,1.00738555387595
"r_ID__Hmax[Da_Ae,Intercept]",28.3087005855023,0.158560278611075,9.12768378246067,11.0760786544063,21.9993714204247,27.9495819198266,34.1722110641894,47.0995304667391,3313.84637744015,1.00000908112989
"r_ID__Hmax[Da_Ol1,Intercept]",-19.6613728406214,0.169454582295786,7.72240828516497,-33.3294210665038,-25.0650633999038,-20.1369021502198,-14.9190110088345,-2.85604989210596,2076.82012551652,1.00493114558548
"r_ID__Hmax[F1,Intercept]",24.3570769592591,0.0959035535472146,6.51731110017952,11.6641911773305,19.9116421652655,24.2522188719243,28.7159024189962,37.5474787735231,4618.14437048336,1.0012201586373
"r_ID__Hmax[ID_1,Intercept]",39.9021374870274,0.0994078049794655,9.94078049794655,21.1565423064414,33.1272820081121,39.7644324422172,46.4562882402585,59.5468940280347,10000,1.00007187577788
"r_ID__Hmax[ID_10,Intercept]",20.2334099134121,0.1399140272261,10.2039778410015,0.77126746712067,13.258649725998,20.1183139542748,27.093204505676,40.4120388211547,5318.83476839584,1.00017774467037
"r_ID__Hmax[ID_100,Intercept]",-6.68323188818516,0.113257629486938,9.25729024606654,-24.2033979600281,-13.1692283450713,-6.93108483972696,-0.422080542693495,11.9524757305859,6680.86699873496,1.00002646833814
"r_ID__Hmax[ID_101,Intercept]",-3.66868012482294,0.0854423730233415,8.54423730233415,-20.2410670033776,-9.51986708919677,-3.69411394918543,1.93567471240982,13.5377066029109,10000,1.00113600203286
"r_ID__Hmax[ID_102,Intercept]",-18.6644429409267,0.172295793975143,9.80230881244584,-37.0558196839299,-25.3444029228549,-18.9449121979659,-12.3156536437613,1.72286627725314,3236.73697772543,1.00090776214802
"r_ID__Hmax[ID_103,Intercept]",-17.004374346192,0.170089702412579,9.67054022086482,-34.9610265934837,-23.6242038355338,-17.3990921508328,-10.8532679114989,3.32380331712564,3232.55132009754,1.00085066724666
"r_ID__Hmax[ID_104,Intercept]",14.2207747117286,0.145345740978052,10.3734890584757,-5.52970325008475,7.07151863248211,13.9570644056131,21.0175029022625,35.4039030132732,5093.83749448367,1.00008390414896
"r_ID__Hmax[ID_105,Intercept]",19.1864833366746,0.135904176588397,10.5678376113793,-0.823791909450476,11.9539655932166,18.9329885066296,26.3606849462287,40.3329969369377,6046.53616919249,1.00006889284078
"r_ID__Hmax[ID_106,Intercept]",-5.40796714018506,0.138428784891374,9.91615591361098,-24.6388777071128,-12.2096570501405,-5.54345426645207,1.16036142181227,14.292987722336,5131.37648678797,1.00090852468905
"r_ID__Hmax[ID_107,Intercept]",35.6362933395465,0.112489888664663,11.2489888664663,13.9424864350024,27.9241777753538,35.4681817871595,43.0263192042872,58.6382339542341,10000,1.00051621109111
"r_ID__Hmax[ID_109,Intercept]",3.30675225405429,0.167895435174683,11.1058056922767,-17.2365134217151,-4.22885815477368,2.8878601089048,10.3549673361522,25.6973211743029,4375.446365152,1.00096421682214
"r_ID__Hmax[ID_111,Intercept]",0.645348843166136,0.143657176220877,9.97367026771854,-18.1506178517674,-6.2385505861762,0.452431587514493,7.2388565251791,21.1170952117544,4820.09237511509,0.999912021072445
"r_ID__Hmax[ID_112,Intercept]",4.04735770969489,0.168064275558887,9.67467897069535,-14.3981076248465,-2.46560127486581,3.95869986862758,10.374539805301,23.5341695730849,3313.76960669881,1.00091094449068
"r_ID__Hmax[ID_113,Intercept]",33.2354193314597,0.124477676079616,9.9583744515282,14.4948153419343,26.3600121836887,33.0686922442568,39.7475668215048,53.2616378493273,6400.20613039092,1.00001752727731
"r_ID__Hmax[ID_114,Intercept]",16.7637246986274,0.167075457092921,10.5658084381463,-2.73226700634175,9.59976833135219,16.304812071605,23.5162052968253,38.8265521653969,3999.26469347213,0.999948548377568
"r_ID__Hmax[ID_116,Intercept]",-6.88165340026217,0.175540407997691,9.96357548445018,-25.9504216543693,-13.6966641804627,-7.00854184262737,-0.243518392474785,12.9296158407608,3221.63417728776,1.00063342045555
"r_ID__Hmax[ID_117,Intercept]",-11.405232102851,0.17338413801254,12.4999113303116,-35.2152297133861,-20.0540629295633,-11.6284760187417,-3.00528503196733,13.7759029416128,5197.50765015152,1.00085127505959
"r_ID__Hmax[ID_118,Intercept]",-2.47933319159789,0.130326311173628,10.6605385159906,-22.7919842761276,-9.60220911963708,-2.83216511634243,4.35827646423613,19.5621324084526,6691.04701243512,1.00019379097362
"r_ID__Hmax[ID_119,Intercept]",-33.8307628945333,0.114030192639192,11.4030192639192,-55.2642118055758,-41.5609459412441,-34.0579639558725,-26.5748137643778,-10.2091353752654,10000,1.00049342472188
"r_ID__Hmax[ID_12,Intercept]",12.6155748318773,0.154809870327428,10.0484774727445,-7.42838138752967,5.89433092383195,12.3923443635794,19.3414035176555,32.9343629797578,4213.11421466225,1.00028421069689
"r_ID__Hmax[ID_120,Intercept]",25.1727978532834,0.126547321530774,9.50776724398164,6.81307772352105,18.7469145373449,25.0938848748606,31.3851477687844,44.4225740739388,5644.83390855504,1.00139715666822
"r_ID__Hmax[ID_121,Intercept]",-34.3545801464303,0.103973571977464,10.3973571977464,-54.4606618875271,-41.5384290148433,-34.458304324642,-27.4825183562824,-13.5538962085547,10000,1.00024571620859
"r_ID__Hmax[ID_122,Intercept]",15.4772960570366,0.155566769768525,10.9473691646791,-5.37049448667433,7.95047251142857,15.1999695837979,22.8085944813369,37.552638398738,4952.05955533309,1.00121256404878
"r_ID__Hmax[ID_123,Intercept]",-2.04570693084921,0.139425369762729,9.93499660390816,-21.0612675440083,-8.73879790402909,-2.32446421502217,4.45601970345824,17.7304091704864,5077.52226083124,1.00078516826287
"r_ID__Hmax[ID_124,Intercept]",-17.9444919988788,0.151344209523302,10.4971584701096,-37.5896028137042,-25.012544252128,-18.3693299394346,-11.3027645791702,3.77480302054097,4810.74002914173,1.0006732521834
"r_ID__Hmax[ID_125,Intercept]",-44.2673780046091,0.165925438811779,10.4051376074335,-64.1981630574524,-51.3454481743931,-44.4636772986069,-37.2544282591524,-23.3063797082875,3932.50883029721,1.00135757853638
"r_ID__Hmax[ID_126,Intercept]",-26.5370113048998,0.144579128819598,10.403536537487,-46.4601707177533,-33.6381033789921,-26.923153141814,-19.8122451193084,-4.86540984643342,5177.8657557819,1.00050129407338
"r_ID__Hmax[ID_127,Intercept]",16.252566534745,0.158565612174871,10.2925607466199,-3.08999188394068,9.11848487680097,16.0120728228317,23.0564236826193,37.337756791916,4213.36283972937,1.00135774819387
"r_ID__Hmax[ID_128,Intercept]",-5.84334439318312,0.109077650224162,10.9077650224162,-26.8646858102822,-13.1564060219244,-5.9836007561004,1.36127122848376,16.2278126432069,10000,1.00035722222919
"r_ID__Hmax[ID_129,Intercept]",-40.5973988656324,0.151264141421922,11.7875396974152,-63.0743289762229,-48.6280604261418,-40.8735160480093,-32.682108192204,-16.9179653645872,6072.59563908577,1.00075772039331
"r_ID__Hmax[ID_13,Intercept]",-4.07463769056122,0.0901220150840498,9.01220150840498,-21.4617082763981,-10.200945515037,-4.15638489008831,1.86349753067583,13.9016704254412,10000,1.00001689426519
"r_ID__Hmax[ID_130,Intercept]",-4.18962297613963,0.12765004214854,9.32322879427699,-21.9440958306324,-10.5091133964031,-4.42138395788815,1.92344286736262,14.6769915590512,5334.46363640364,1.00058199291089
"r_ID__Hmax[ID_132,Intercept]",-12.8253383623209,0.12420954642271,9.86825534849995,-32.2454104975614,-19.4750766002019,-12.9305325360582,-6.28122431835031,7.22216970246409,6312.05545265236,1.00055698337211
"r_ID__Hmax[ID_133,Intercept]",30.9075715128188,0.171486977633284,11.4289576447338,9.40571163323704,22.9368807692982,30.617957826223,38.4260070661155,54.0098978539755,4441.71771241782,1.00013406575219
"r_ID__Hmax[ID_134,Intercept]",-28.7621703938479,0.124747258990585,9.00814870565233,-45.8729453800774,-34.9651029313527,-29.0646657562149,-22.868800218749,-10.1627289599634,5214.45675391156,1.00058795898301
