"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",21.9233772064636,0.010171650732035,0.460738019613794,21.0434583240534,21.6093345989312,21.9129013650695,22.2297605593967,22.8697839631218,2051.75369428927,1.00183151374783
"b_k_Intercept",-7.6229759188743,0.0130064271878894,0.654990088428271,-8.93338501347462,-8.05937544535609,-7.62518080914392,-7.16436272202213,-6.37259774041807,2536.0244026081,1.00246307520701
"b_I_Intercept",149.443522173383,0.0726792912633625,2.08679136516009,145.341022076396,148.018785926819,149.423593780769,150.839762703617,153.608238149773,824.397554471358,1.01034972652192
"b_Hmin_Intercept",5.83745470368423,0.0034262681714956,0.197269228684112,5.45208815611847,5.70625238571909,5.83832144311089,5.97009564761134,6.225619660773,3314.94242065106,1.00153163131188
"sd_ID__Hmax_Intercept",2.82950140842243,0.00748418493337959,0.356124466440943,2.14888498034082,2.59086375966387,2.81713863787882,3.06495637858568,3.55587478744368,2264.19904293822,1.00094958832588
"sd_ID__k_Intercept",3.77839739497053,0.00921184435229374,0.510162941807308,2.86375111594843,3.41739114967463,3.75305204572624,4.09734045772322,4.85798723877213,3067.07668055013,1.00071734353789
"sd_ID__I_Intercept",23.7076399525478,0.0381431002818297,1.61812038955164,20.7656727069172,22.5818043535304,23.6420004447326,24.7519634397455,27.0933006021107,1799.65675671613,1.00100507678904
"sigma",2.56733111980532,0.00227418423122862,0.111000998252675,2.35793112189772,2.49197701625271,2.56309762295245,2.63817079192084,2.79540105129375,2382.33308006837,1.00043109945413
"r_ID__Hmax[Da_Ae,Intercept]",2.32144276869554,0.0206063881494915,1.70980102222631,-0.49694778369702,1.15355622434216,2.15192621848103,3.26360355054867,6.2540082154679,6884.73760121308,1.0001668677773
"r_ID__Hmax[Da_Ol1,Intercept]",-0.242745418164895,0.0294083869075077,2.94083869075077,-6.33125886695042,-2.08746106860975,-0.2034824182779,1.68003101379441,5.55990233398662,10000,1.00135041198516
"r_ID__Hmax[F1,Intercept]",-2.21875307023914,0.054626689355368,1.13799443256992,-4.02496885152392,-2.87650270498984,-2.26546050536685,-1.67065582368559,-0.311738386330948,433.980796774575,1.00720825839722
"r_ID__Hmax[ID_1,Intercept]",2.49735251915556,0.0229935680204227,2.29935680204227,-1.89457415177095,0.924401169598605,2.44147624745044,4.0339308859875,7.15312267035078,10000,0.999757736851009
"r_ID__Hmax[ID_10,Intercept]",-1.9713207071507,0.0267384622175895,2.33636113699301,-6.21687317994209,-3.59099781796771,-2.08825979980444,-0.488858822784518,2.93281250275753,7634.96576717773,0.999931847969613
"r_ID__Hmax[ID_100,Intercept]",-0.29474977828274,0.0250033971318366,2.50033971318366,-5.04380905717169,-1.99623521876834,-0.352673810795115,1.34858511693516,4.81887922872751,10000,0.999970344142625
"r_ID__Hmax[ID_101,Intercept]",0.455599260907635,0.0231101883671376,2.31101883671376,-3.87602041158607,-1.1198837572114,0.370132507243706,1.94141450233992,5.30981452813661,10000,1.00033744635218
