Name,"Individual_
No.",2015.12.18,2016.01.20,2016.02.17,2016.03.16,2015.12.18,2016.01.20,2016.02.17,2016.03.16,2015.12.28,2016.01.21,2016.02.18,2016.03.21,2015.12.28,2016.01.21,2016.02.18,2016.03.21,2016.05.13
Da-Ol1,134-1,29,85,,140,30.5,55.5,,63.5,5,5,6,7,5,6,6,5,174
Da-Ol1,134-2,24,59,,91,16,34,,36.5,6,7,3,8,3,9,4,5,105
Da-Ol1,134-3,24,64,,155,19.5,50.5,,52.5,6,8,6,11,3,7,4,6,173
Da-Ol1,134-4,18,35,55,133,18.5,28,36,61,6,11,,,2,19,,,124
Da-Ol1,134-5,20,48,101,95,22.5,35,43.5,48.5,6,10,,,4,24,,,149
Da-Ol1,134-6,10,47,93,116,22.5,41,45,56,5,9,,,3,21,,,134
Da-Ae,107-1,16,43,63,141,40,56.5,78,66.5,0,6,19,20,14,18,9,10,194
Da-Ae,107-2,10,41,60,137,32,53.5,85,83.5,0,0,16,18,17,27,8,7,203
F1,136-1,18,54,140,180,40.5,62.5,95,91,0,7,4,14,20,12,12,7,198
F1,136-2,19,49,100,170,38.5,50,81,39,0,0,7,9,18,18,15,10,196
F1,136-3,16,52,122,170,44,47.5,79,51,0,0,7,11,19,18,19,13,185
F1,136-4,19,41,,160,35,41,,54.5,0,0,,,16,14,,,167
F1,136-5,20,48,,175,53,70,,50,0,4,,,20,18,,,183
F1,136-6,25,51,,157,51.5,60,,50.5,0,0,,,21,19,,,212
F1,136-7,26,50,,155,54,60.5,,52.5,0,5,,,22,14,,,197
F1,136-8,18,97,,180,44,63.5,,58.5,0,12,,,22,13,,,212
F1,136-9,15,44,,155,27.5,37.5,,53.5,0,0,,,12,17,,,164
F1,136-10,19,47,,169,51,45.5,,69.5,0,7,,,20,18,,,197
F1,136-11,16,45,,160,35.5,59,,49.5,0,0,,,17,22,,,162
F1,136-12,15,39,,165,30.5,49.5,,45.5,0,0,,,12,16,,,150
F1,136-13,19,45,,170,42.5,55,,50.5,0,0,,,17,15,,,157
F1,136-14,20,48,,170,48.5,56.5,,72,0,0,,,19,19,,,192
Da-Ol1xDa-Ae_F1,137-1,33,53,133,175,34.5,66.5,83.5,72.5,0,0,12,11,22,21,9,10,210
Da-Ol1xDa-Ae_F1,137-2,35,59,159,180,53,66,85.5,82.5,0,11,7,12,21,10,5,9,220
Da-Ol1xDa-Ae_F1,137-3,17,44,48,68,40,49,54,68,0,0,17,8,17,20,6,17,206
Da-Ol1xDa-Ae_F1,137-4,20,51,,175,61.5,72.5,,67.5,1,14,,,25,9,,,196
Da-Ol1xDa-Ae_F1,137-5,14,55,,198,56.5,71.5,,86.5,1,11,,,21,12,,,222
Da-Ol1xDa-Ae_F1,137-6,31,55,,180,63,85,,76.5,2,14,,,23,7,,,204
Da-Ol1xDa-Ae_F1,137-7,27,54,,175,54,63,,62.5,2,0,,,20,28,,,199
Da-Ol1xDa-Ae_F1,137-8,28,47,,163,32.5,55,,78,2,9,,,13,6,,,189
F2,138-1,19,41,127,172,46.5,67.5,65.5,76,0,5,21,19,24,3,7,6,221
F2,138-2,21,36,136,168,42.5,57,60,62,0,9,15,16,19,11,9,8,212
F2,138-3,11,38,116,162,23,36.5,73.5,60,0,0,0,8,15,21,24,15,149
F2,138-4,19,92,28,148,63.5,64.5,46,71.5,9,11,15,11,22,8,8,10,182
F2,138-5,7,13,112,80,11,32.5,62.5,42,0,0,0,9,10,14,15,11,100
