"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",65.648463057825,0.0153059505408516,0.767916170666282,64.1456874557296,65.1298066712253,65.6491532599195,66.1632558492659,67.139804934917,2517.13793446573,1.00296292054876
"b_k_Intercept",0.841284539842276,0.000313307683462568,0.0151663426476233,0.811911642423439,0.83072351309826,0.841228692921895,0.851498953598574,0.871707386644718,2343.25545219145,1.00143176465117
"b_delta_Intercept",5.55717286622133,0.0065157447096165,0.458056166452558,4.6907083072209,5.24742920444421,5.54647082665562,5.86107057888472,6.49031800597636,4942.07518349022,1.00009004649091
"b_Hmin_Intercept",24.8248699509185,0.0214270702855128,1.56757935047502,21.5189263390161,23.8377418167436,24.8863189686636,25.9181457814114,27.6552235585816,5352.21412057005,0.999830355519722
"sd_ID__Hmax_Intercept",7.61993961646092,0.0139439248461108,0.609103755116688,6.46386806634156,7.19702994935829,7.60812010621346,8.01214704965214,8.8661465022899,1908.14989201295,1.00151207017635
"sd_ID__k_Intercept",0.127388606481921,0.000205785193638141,0.0102081508316533,0.108770994653888,0.12032430775702,0.126833730947093,0.134051131352206,0.148661099119733,2460.74102137941,1.00198082314102
"sd_ID__delta_Intercept",2.18459029363006,0.00780399942295842,0.362529303548114,1.50973343610918,1.93374705528922,2.17283814580025,2.42258541680946,2.92395481613547,2158.00166888365,1.00103183627747
"sigma",4.7382116811017,0.00567961572502043,0.223998963402471,4.31952661032037,4.58538217655848,4.7311325015019,4.88222805256605,5.1970335275056,1555.4430374173,1.0024575865302
"r_ID__Hmax[Da_Ae,Intercept]",15.0681244040441,0.0275315657793096,2.75315657793096,9.75708226116282,13.2022159078551,15.0085844162756,16.8801210433424,20.6485114986498,10000,1.00042491547102
"r_ID__Hmax[Da_Ol1,Intercept]",-14.1692037873179,0.0211011500989255,2.11011500989255,-18.0371923961345,-15.6058079838039,-14.2627058885051,-12.8415117974623,-9.81544113404271,10000,1.00067214477743
"r_ID__Hmax[F1,Intercept]",19.675307244753,0.0258715138608472,2.58715138608472,14.6842741215464,17.9493182991854,19.6057544514175,21.3199697549393,24.9728353151286,10000,1.00019485707981
"r_ID__Hmax[ID_1,Intercept]",7.10380329438646,0.0327217611371913,3.27217611371913,1.08952653340436,4.87363386055116,6.95091043128553,9.24257236619444,13.9241675825669,10000,1.00038633493729
"r_ID__Hmax[ID_10,Intercept]",-10.5661171154205,0.0551504845504599,4.19524499254888,-17.4945294927822,-13.4401098539179,-11.07890382804,-8.31164688805644,-0.500076159783868,5786.5004389522,1.0003061244399
"r_ID__Hmax[ID_100,Intercept]",0.613863673390132,0.0360250182459021,3.60250182459021,-5.65280186727321,-1.82643429539374,0.329853169176689,2.70584827834512,8.6321823879538,10000,1.00003801674072
