"","trait.x","gene_ID","eQTL_chr","pos","eQTL_start","eQTL_end","min_eQTL_LOD","max_eQTL_LOD","gene_CHROM","gene_start","gene_end","trait.y","chrom","subject","AGI","At_symbol","model","B.napus_GO_term","GO_des","QTL_start","QTL_end","eQTL_genetic_start","eQTL_genetic_end","QTL_genetic_start","QTL_genetic_end"
"1","BnaA01g03570D","BnaA01g03570D","chrA01",37.50586335,1671382,2196893,19.3009899289784,21.2846482010213,"chrA01",1670757,1674416,"Behenic_acid","A01","AT4G33330.2","AT4G33330"," plant glycogenin-like starch initiation protein 3 ","scanone",NA,NA,1665566,5352789,37.50586335,37.50586335,33.85324508,86.54685233
"2","BnaA01g03590D","BnaA01g03590D","chrA01",35,1572757,1788047,24.534343760287,27.0549570071158,"chrA01",1679977,1682519,"Behenic_acid","A01","AT4G33270.1","AT4G33270"," Transducin family protein / WD-40 repeat family protein ","scanone","GO:0005515","protein binding",1665566,5352789,35,35,33.85324508,86.54685233
"3","BnaA01g03610D","BnaA01g03610D","chrA01",42.10532701,1392606,4318350,2.45099516192637,5.23652569559526,"chrA01",1685545,1693089,"Behenic_acid","A01","AT4G33240.1","AT4G33240"," 1-phosphatidylinositol-4-phosphate 5-kinases;zinc ion binding;1-phosphatidylinositol-3-phosphate 5-kinases ","scanone","GO:0005524;GO:0016307;GO:0044267;GO:0046488;GO:0046872","ATP binding;phosphatidylinositol phosphate kinase activity;cellular protein metabolic process;phosphatidylinositol metabolic process;metal ion binding",1665566,5352789,42.10532701,42.10532701,33.85324508,86.54685233
"4","BnaA01g03630D","BnaA01g03630D","chrA01",35,1665566,1789273,45.163815490584,48.7751244812007,"chrA01",1698533,1703796,"Behenic_acid","A01","AT4G33210.1","AT4G33210"," F-box family protein ","scanone","GO:0005515","protein binding",1665566,5352789,35,35,33.85324508,86.54685233
"5","BnaA01g03730D","BnaA01g03730D","chrA01",38.16567022,1323308,2209595,3.89933465808712,6.48025016287884,"chrA01",1740957,1742917,"Behenic_acid","A01","AT4G33140.1","AT4G33140"," Haloacid dehalogenase-like hydrolase (HAD) superfamily protein ","scanone","GO:0016791","phosphatase activity",1665566,5352789,38.16567022,38.16567022,33.85324508,86.54685233
"6","BnaA01g03790D","BnaA01g03790D","chrA01",37,1671382,1788047,50.434782856829,58.3293270996985,"chrA01",1755592,1760092,"Behenic_acid","A01","AT4G33090.1","AT4G33090"," aminopeptidase M1 ","scanone","GO:0006508;GO:0008237;GO:0008270","proteolysis;metallopeptidase activity;zinc ion binding",1665566,5352789,37,37,33.85324508,86.54685233
"7","BnaA01g03880D","BnaA01g03880D","chrA01",37.50586335,1671382,2063293,14.4569456091054,17.2038825871471,"chrA01",1792689,1794598,"Behenic_acid","A01","AT4G33000.1","AT4G33000"," calcineurin B-like protein 10 ","scanone","GO:0005509","calcium ion binding",1665566,5352789,37.50586335,37.50586335,33.85324508,86.54685233
"8","BnaA01g03900D","BnaA01g03900D","chrA01",36,1671382,2170704,16.7359819587582,17.9573787304127,"chrA01",1802303,1803074,"Behenic_acid","A01",NA,NA,NA,"scanone",NA,NA,1665566,5352789,36,36,33.85324508,86.54685233
"9","BnaA01g04080D","BnaA01g04080D","chrA01",38.16567022,1043044,4318350,1.67584820263455,6.02460697599378,"chrA01",1878424,1879005,"Behenic_acid","A01","AT4G32860.1","AT4G32860"," unknown protein; Has 46 Blast hits to 46 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 46; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). ","scanone",NA,NA,1665566,5352789,38.16567022,38.16567022,33.85324508,86.54685233
"10","BnaA01g04110D","BnaA01g04110D","chrA01",40,1789273,2106847,25.5707642936865,29.0408727063539,"chrA01",1892311,1895556,"Behenic_acid","A01","AT4G32840.1","AT4G32840"," phosphofructokinase 6 ","scanone","GO:0003872;GO:0005524;GO:0005945;GO:0006002;GO:0006096","6-phosphofructokinase activity;ATP binding;6-phosphofructokinase complex;fructose 6-phosphate metabolic process;glycolytic process",1665566,5352789,40,40,33.85324508,86.54685233
"11","BnaA01g04200D","BnaA01g04200D","chrA01",38.16567022,1788178,2063293,18.5894855032426,22.1894121405323,"chrA01",1940686,1945243,"Behenic_acid","A01","AT4G32760.2","AT4G32760"," ENTH/VHS/GAT family protein ","scanone","GO:0005622;GO:0006886","intracellular;intracellular protein transport",1665566,5352789,38.16567022,38.16567022,33.85324508,86.54685233
"12","BnaA01g04290D","BnaA01g04290D","chrA01",41.66247319,1788178,2106847,27.848254019762,29.9732257603689,"chrA01",1975670,1986403,"Behenic_acid","A01","AT4G32700.2","AT4G32700"," helicases;ATP-dependent helicases;nucleic acid binding;ATP binding;DNA-directed DNA polymerases;DNA binding ","scanone","GO:0003676;GO:0003677;GO:0003887;GO:0004386;GO:0005524;GO:0006260;GO:0008026","nucleic acid binding;DNA binding;DNA-directed DNA polymerase activity;helicase activity;ATP binding;DNA replication;ATP-dependent helicase activity",1665566,5352789,41.66247319,41.66247319,33.85324508,86.54685233
"13","BnaA01g04380D","BnaA01g04380D","chrA01",33.85324508,1572757,2062570,8.66392460580905,10.7595485297386,"chrA01",2027391,2029956,"Behenic_acid","A01","AT4G32620.2","AT4G32620"," Enhancer of polycomb-like transcription factor protein ","scanone",NA,NA,1665566,5352789,33.85324508,33.85324508,33.85324508,86.54685233
"14","BnaA01g04390D","BnaA01g04390D","chrA01",33.53959903,684630,2404407,2.55420600326242,4.28527684593146,"chrA01",2030102,2034550,"Behenic_acid","A01","AT4G32620.2","AT4G32620"," Enhancer of polycomb-like transcription factor protein ","scanone",NA,NA,1665566,5352789,33.53959903,33.53959903,33.85324508,86.54685233
"15","BnaA01g04420D","BnaA01g04420D","chrA01",41.66247319,2062570,2106847,40.8621700219151,50.2119099911981,"chrA01",2062163,2064137,"Behenic_acid","A01","AT4G32610.1","AT4G32610"," copper ion binding ","scanone",NA,NA,1665566,5352789,41.66247319,41.66247319,33.85324508,86.54685233
"16","BnaA01g04430D","BnaA01g04430D","chrA01",39,1043044,2106847,4.67433385119964,6.48121325961867,"chrA01",2064584,2066113,"Behenic_acid","A01",NA,NA,NA,"scanone","GO:0005759","mitochondrial matrix",1665566,5352789,39,39,33.85324508,86.54685233
"17","BnaA01g04440D","BnaA01g04440D","chrA01",33.53959903,77632,1789273,3.9542319034349,5.64591742368706,"chrA01",2066181,2068483,"Behenic_acid","A01","AT4G32600.1","AT4G32600"," RING/U-box superfamily protein ","scanone","GO:0005515;GO:0008270","protein binding;zinc ion binding",1665566,5352789,33.53959903,33.53959903,33.85324508,86.54685233
"18","BnaA01g04450D","BnaA01g04450D","chrA01",29.60379113,77632,2368420,4.19273688562301,5.76038603987126,"chrA01",2069060,2070357,"Behenic_acid","A01","AT4G32590.3","AT4G32590"," 2Fe-2S ferredoxin-like superfamily protein ","scanone","GO:0009055;GO:0051536","electron carrier activity;iron-sulfur cluster binding",1665566,5352789,29.60379113,29.60379113,33.85324508,86.54685233
"19","BnaA01g04470D","BnaA01g04470D","chrA01",41.99253149,2062522,2106847,33.1493627369707,37.1189196923101,"chrA01",2074798,2077059,"Behenic_acid","A01","AT4G32560.1","AT4G32560"," paramyosin-related ","scanone",NA,NA,1665566,5352789,41.99253149,41.99253149,33.85324508,86.54685233
"20","BnaA01g04480D","BnaA01g04480D","chrA01",35.50012366,77632,2404407,3.13646159028396,5.60533258801522,"chrA01",2077282,2086311,"Behenic_acid","A01","AT4G32551.2","AT4G32551"," LisH dimerisation motif;WD40/YVTN repeat-like-containing domain ","scanone","GO:0005515","protein binding",1665566,5352789,35.50012366,35.50012366,33.85324508,86.54685233
"21","BnaA01g04510D","BnaA01g04510D","chrA01",42.10532701,1572757,2788985,15.5838980612912,18.3143608383375,"chrA01",2105832,2107371,"Behenic_acid","A01","AT2G25610.1","AT2G25610"," ATPase, F0/V0 complex, subunit C protein ","scanone","GO:0015078;GO:0015991","hydrogen ion transmembrane transporter activity;ATP hydrolysis coupled proton transport",1665566,5352789,42.10532701,42.10532701,33.85324508,86.54685233
"22","BnaA01g04520D","BnaA01g04520D","chrA01",43,2062570,2154659,63.0642493942159,72.4847501216304,"chrA01",2107641,2114667,"Behenic_acid","A01","AT4G32510.1","AT4G32510"," HCO3- transporter family ","scanone","GO:0003824;GO:0004372;GO:0005452;GO:0006544;GO:0006563;GO:0006820;GO:0016020;GO:0016021;GO:0030170","catalytic activity;glycine hydroxymethyltransferase activity;inorganic anion exchanger activity;glycine metabolic process;L-serine metabolic process;anion transport;membrane;integral component of membrane;pyridoxal phosphate binding",1665566,5352789,43,43,33.85324508,86.54685233
"23","BnaA01g04570D","BnaA01g04570D","chrA01",50.16055788,2170704,2368420,12.4427164676357,15.3307211288711,"chrA01",2132740,2135684,"Behenic_acid","A01","AT4G32440.2","AT4G32440"," Plant Tudor-like RNA-binding protein ","scanone",NA,NA,1665566,5352789,50.16055788,50.16055788,33.85324508,86.54685233
