"","trait_genetic_start","trait_genetic_end","trait","gene_ID","eQTL_chr","eQTL_genetic_start","eQTL_genetic_end","subject","AGI","At_symbol","trait_chrom","gene.chrom","gene.start","gene.end","B.napus_GO_term","GO_des"
"1",29,33,"Arachidic_acid","BnaA01g05090D","chrA08",33,33,"AT4G31750.1","AT4G31750"," HOPW1-1-interacting 2 ","chrA08","A01",2385599,2388187,"GO:0003824;GO:0004722;GO:0006470","catalytic activity;protein serine/threonine phosphatase activity;protein dephosphorylation"
"2",29,33,"Arachidic_acid","BnaA01g08530D","chrA08",29,29,"AT4G17640.1","AT4G17640"," casein kinase II  beta chain 2 ","chrA08","A01",4079870,4081741,"GO:0005956;GO:0019887","protein kinase CK2 complex;protein kinase regulator activity"
"3",29,33,"Arachidic_acid","BnaA03g42340D","chrA08",29,29,"AT4G16100.1","AT4G16100"," Protein of unknown function (DUF789) ","chrA08","A03",21259400,21261358,NA,NA
"4",29,33,"Arachidic_acid","BnaA03g55760D","chrA08",30,30,"AT5G08480.2","AT5G08480"," VQ motif-containing protein ","chrA08","A03_random",403856,405447,NA,NA
"5",29,33,"Arachidic_acid","BnaA06g23120D","chrA08",31,31,"AT5G63980.1","AT5G63980"," Inositol monophosphatase family protein ","chrA08","A06",16125733,16127813,"GO:0006790;GO:0046854","sulfur compound metabolic process;phosphatidylinositol phosphorylation"
"6",29,33,"Arachidic_acid","BnaA08g04710D","chrA08",29,29,"AT1G43700.1","AT1G43700"," VIRE2-interacting protein 1 ","chrA08","A08",4525238,4527549,"GO:0003700;GO:0043565","transcription factor activity, sequence-specific DNA binding;sequence-specific DNA binding"
"7",29,33,"Arachidic_acid","BnaA08g05340D","chrA08",29,29,"AT4G14500.1","AT4G14500"," Polyketide cyclase/dehydrase and lipid transport superfamily protein ","chrA08","A08",5327225,5329891,NA,NA
"8",29,33,"Arachidic_acid","BnaA08g06090D","chrA08",30,30,"AT4G16143.1","AT4G16143"," importin alpha isoform 2 ","chrA08","A08",6020917,6024228,"GO:0005488;GO:0005515;GO:0005634;GO:0005737;GO:0006606;GO:0008565","binding;protein binding;nucleus;cytoplasm;protein import into nucleus;protein transporter activity"
"9",29,33,"Arachidic_acid","BnaA08g29440D","chrA08",29,29,"AT4G14720.1","AT4G14720"," TIFY domain/Divergent CCT motif family protein ","chrA08","A08_random",277552,279850,"GO:0005515","protein binding"
"10",29,33,"Arachidic_acid","BnaA08g29920D","chrA08",30,30,NA,NA,NA,"chrA08","A08_random",1029022,1029652,"GO:0009523;GO:0015979;GO:0016020","photosystem II;photosynthesis;membrane"
